Last 4 digits of your ID	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	Report 	Total	Comment
8514	2	2	2	2	2	2	2	2	2	2	1	21	1. compile error: prototype not matching(isLeaf) 2. runtime error: segmentation fault(on last minHeapify function isLeaf returns false because pheap->num=0 and pos=1. line 213)
8681	4	4	4	4	4	4	4	4	4	4	1	41	
8692	4	4	4	4	4	4	4	4	4	4	1	41	
2027(강)	4	4	4	4	4	4	4	4	4	4	1	41	
2750	4	4	4	4	4	4	4	4	4	4	1	41	
2121	4	4	4	4	4	4	4	4	4	4	1	41	
1350	4	4	4	4	4	4	4	4	4	4	1	41	
4640	4	4	4	4	4	4	4	4	4	4	1	41	
540	4	4	4	4	4	4	4	4	4	4		40	
624	4	4	4	4	4	4	4	4	4	4	1	41	
4758												0	
4072	4	4	4	4	4	4	4	4	4	4	1	41	
4068	4	4	4	4	4	4	4	4	4	4	1	41	
1510												0	
461	4	4	4	4	4	4	4	4	4	4	1	41	
3081	4	4	4	4	4	4	4	4	4	4	1	41	
4481	4	4	4	4	4	4	4	4	4	4	1	41	
5487												0	
4577	4	4	4	4	4	4	4	4	4	4	1	41	
2716	4	4	4	0	4	0	0	0	0	0	1	17	
3505	4	4	4	4	4	4	4	4	4	4	1	41	
3973	0	4	4	4	0	0	0	0	0	0	1	13	
1795	4	4	4	4	4	4	4	4	4	4		40	
4609	4	4	4	4	4	4	4	4	4	4	1	41	
2738	4	4	4	4	4	4	4	4	4	4	1	41	
3965	4	4	4	4	4	4	4	4	4	4	1	41	
536												0	
3782												0	
1938												0	
1943												0	
2836												0	
4232	4	4	4	4	4	4	4	4	0	0	1	33	
241	4	4	4	4	4	4	4	4	4	4	1	41	
2578	4	4	4	4	4	4	4	4	4	0	1	37	
3665	4	4	4	4	4	4	4	4	0	0	1	33	
459	4	4	4	4	4	4	4	4	0	0	1	33	
4866	4	4	4	4	4	4	4	4	4	4	1	41	
3933	4	4	4	4	4	4	4	4	4	4	1	41	
2196	4	4	4	4	4	4	4	4	4	4	1	41	
2643	4	4	4	4	4	4	4	4	0	0	1	33	
2305	4	4	4	4	4	4	4	4	4	4	1	41	
1298	4	4	4	4	4	4	4	4	4	4	1	41	
2870	4	4	4	4	4	4	4	4	4	4	1	41	
2717												0	
2302	4	4	4	4	4	4	4	4	4	4	1	41	
4838	4	4	0	4	0	4	4	0	0	0	1	21	
1929	4	4	4	4	4	4	4	4	4	4	1	41	
4658(박)	4	4	4	4	4	4	4	4	4	4	1	41	
656	4	4	4	4	4	4	4	4	4	4	1	41	
1867	4	4	4	4	4	4	4	4	4	4	1	41	
4944	4	4	4	4	4	4	4	4	4	4	1	41	
1912	4	4	4	4	4	4	4	4	4	0	1	37	
1996	4	4	4	4	4	4	4	4	4	4		40	
797	4	4	4	4	4	4	4	4	4	4	1	41	
742												0	
561	4	4	4	4	4	4	4	4	0	4	1	37	
4524	4	4	4	4	4	4	4	4	4	4	1	41	
5550	4	4	4	4	4	4	4	4	4	4	1	41	
176	4	4	4	4	4	4	4	4	4	4	1	41	
3436												0	
4768	4	4	4	4	4	4	4	4	4	4	1	41	
2692	4	4	4	4	4	4	4	4	4	4	1	41	
899	4	4	4	4	4	4	4	4	4	4	1	41	
3604	4	4	4	4	4	4	4	4	4	4	1	41	
4315	4	4	4	4	4	4	4	4	4	4	1	41	
2027(신)	4	4	4	4	4	4	4	4	4	4	1	41	
2373	4	4	4	4	4	4	4	4	4	4		40	
1586												0	
3555	4	4	4	4	4	4	4	4	4	4	1	41	
2270	4	4	4	4	4	4	4	4	4	4	1	41	
465	4	4	4	4	4	4	4	4	4	4	1	41	
3079	4	4	4	4	4	4	4	4	4	4	1	41	
325	4	4	4	4	4	4	4	4	4	4	1	41	
2764	4	4	4	4	4	4	4	4	4	4	1	41	
3702												0	
2438												0	
4668	4	4	4	4	4	4	4	0	0	0	1	29	
137	4	4	4	0	4	0	4	0	0	0	1	21	
3105	4	4	4	4	4	4	4	4	4	4	1	41	
2420	4	4	4	4	4	4	4	4	4	4	1	41	
2381												0	
2483	4	4	4	4	4	4	4	4	4	4	1	41	
2947	4	4	4	0	4	0	4	0	0	0	1	21	
999	4	4	4	4	4	4	0	0	0	0	1	25	
2860	4	4	4	4	4	4	4	4	4	4	1	41	
3030	4	4	4	4	4	4	4	0	0	0	1	29	
3868	4	4	4	4	4	4	4	4	4	4	1	41	
1266												0	
2807	4	4	4	4	4	4	4	4	4	4	1	41	
625	4	4	4	4	4	4	4	4	4	4		40	
4019												0	
4702	4	4	4	4	4	4	4	4	4	4	1	41	
1226	4	4	4	4	4	4	4	4	4	4	1	41	
3548	4	4	4	4	4	4	4	4	4	4	1	41	
4												0	
1908	4	4	4	4	0	0	0	0	0	0	1	17	
4118	4	4	4	4	4	4	4	4	4	4	1	41	
2534	4	4	4	4	4	4	4	4	4	4	1	41	
62	4	4	4	4	4	4	4	4	4	4	1	41	
5475	4	4	4	4	4	4	4	4	4	4	1	41	
3038	4	4	4	4	4	4	4	4	4	4	1	41	
1210	4	4	4	4	4	4	4	4	0	0	1	33	
3504	4	4	4	4	4	4	4	4	0	0	1	33	
380												0	
2854	4	4	4	4	4	4	4	4	4	4	1	41	
1748	4	4	4	4	4	4	4	4	4	4	1	41	
1625												0	
2015	4	4	4	4	4	4	4	4	4	4	1	41	
3007	4	4	4	4	4	4	4	4	4	4	1	41	
2754	4	4	4	4	4	4	4	4	4	4	1	41	
287	4	4	4	4	4	4	4	4	4	4	1	41	
2202	4	4	4	4	4	4	4	4	4	0	1	37	
2988	4	4	4	4	4	4	4	4	4	4	1	41	
5530	4	4	4	4	4	4	4	4	4	4	1	41	
1283	4	4	4	4	4	4	4	4	4	4	1	41	
4665												0	
3692	4	4	4	4	4	4	4	4	4	4	1	41	
67	4	4	4	4	4	4	4	4	4	4	1	41	
1150	4	4	4	4	4	4	4	4	4	4	1	41	
779	4	4	4	4	4	4	4	4	4	4	1	41	
1013	4	4	4	4	4	4	4	4	4	4	1	41	
2683	4	4	4	4	4	4	0	4	0	0		28	
4658(허)	0	4	4	4	4	4	4	0	0	0	1	25	
3476	4	4	4	4	4	4	4	4	4	4	1	41	
2900	4	4	4	4	4	4	4	4	4	4	1	41	
494	4	4	4	4	4	4	4	4	4	4	1	41
