
Last 4 digits of your ID	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	Report	Total	Comment
8514	4	4	4	4	4	4	4	4	4	4	1	41	
8681	4	4	0	4	4	0	2	0	0	4	1	23	
8692	4	4	4	4	4	4	4	4	4	4	1	41	
2027(강)	4	4	4	4	4	4	4	4	4	4	1	41	
2750	4	4	4	4	4	4	4	4	4	4	1	41	
2121	4	4	4	4	4	4	4	4	4	4	1	41	
1350	4	4	0	0	0	2	0	0	0	2	1	13	
4640	4	4	0	4	4	0	2	0	0	4	1	23	
540	4	4	4	4	4	4	4	4	4	4	0	40	
624	4	4	4	4	4	4	4	4	0	4	1	37	
4758												0	미제출
4072	4	4	4	4	4	4	4	4	4	4	1	41	
4068	4	4	0	4	4	0	2	0	0	4	1	23	
1510												0	미제출
461	4	4	4	4	4	4	0	2	2	4	1	33	
3081	4	4	0	4	4	0	2	0	0	4	1	23	
4481	0	0	0	0	0	0	0	0	0	0	1	1	헤더 파일과 충돌(함수 재선언)
5487												0	미제출
4577	4	4	0	4	4	0	2	0	0	4	0	22	
2716	4	4	4	4	4	0	2	0	0	4	1	27	
3505	4	4	4	4	4	4	4	4	4	4	1	41	
3973	4	4	0	4	4	0	2	0	0	4	1	23	
1795												0	미제출
4609	4	4	0	4	4	0	2	0	0	4	1	23	
2738	4	4	0	4	4	0	2	0	0	4	1	23	
3965	4	4	4	4	4	4	4	4	4	4	1	41	
536												0	미제출
3782												0	미제출
1938												0	미제출
1943												0	미제출
2836												0	미제출
4232	4	4	0	4	4	0	2	0	0	4	1	23	
241	0	0	0	0	0	0	0	0	0	0	1	1	0 하나만 출력됨
2578	4	4	0	4	4	0	2	0	0	4	1	23	
3665	4	4	4	4	4	4	4	4	0	4	1	37	
459	4	4	0	4	4	0	2	0	0	4	1	23	
4866	4	4	4	4	4	4	4	4	4	4	1	41	
3933	4	4	4	4	4	4	4	4	4	4	1	41	
2196	4	4	4	4	4	4	4	4	4	4	1	41	
2643	4	4	4	4	4	4	4	4	4	4	1	41	
2305	4	4	4	4	4	4	4	4	4	4	1	41	
1298	4	4	0	4	4	0	2	0	0	4	1	23	
2870	4	4	0	4	4	0	2	0	0	4	1	23	
2717	0	0	0	0	0	0	0	0	0	0	0	0	헤더 파일과 충돌(함수 재선언)
2302	4	4	4	4	4	4	4	4	4	4	1	41	
4838												0	미제출
1929	4	4	4	4	4	4	4	4	4	4	1	41	
4658(박)	4	4	4	4	4	4	4	4	4	4	1	41	
656	4	4	4	4	4	4	4	4	4	4	1	41	
1867	4	4	4	4	4	4	4	4	4	4	1	41	
4944	4	4	4	4	4	4	4	4	4	4	1	41	
